Date,Open
2021-02-05,58.16
2021-02-08,59.70
2021-02-09,58.91
2021-02-10,62.00
2021-02-11,63.25
2021-02-12,60.12
2021-02-16,61.02
2021-02-17,60.33
2021-02-18,60.00
2021-02-19,58.36
2021-02-22,57.76
2021-02-23,53.50
2021-02-24,54.95
2021-02-25,54.58
2021-02-26,52.07
2021-03-01,53.67
2021-03-02,55.54
2021-03-03,55.93
2021-03-04,55.75
2021-03-05,54.28
2021-03-08,55.50
2021-03-09,56.00
2021-03-10,57.21
2021-03-11,58.80
2021-03-12,58.97
2021-03-15,60.35
2021-03-16,59.99
2021-03-17,57.07
2021-03-18,56.63
2021-03-19,55.48
2021-03-22,57.25
